disbursement_id,application_id,prospect_id,disbursement_date,branch_id,ao_id,product,segment,disbursed_amount,interest_rate_pa,tenor_months
DSB0000063,APP0000092,PR0000536,2026-05-31,BR006,AO023,Kredit Payroll,Payroll,138500000,15.5,36
DSB0000064,APP0000093,PR0000538,2025-12-21,BR001,AO004,Kredit Payroll,Payroll,48500000,15.5,48
DSB0000065,APP0000095,PR0000547,2026-05-01,BR007,AO026,Kredit Payroll,Payroll,71000000,15.5,36
DSB0000066,APP0000096,PR0000552,2025-10-31,BR007,AO026,Kredit Mikro,Mikro,28500000,21.0,18
DSB0000067,APP0000097,PR0000563,2025-07-20,BR002,AO007,Kredit Mikro,Mikro,97000000,21.0,24
DSB0000068,APP0000098,PR0000564,2025-11-21,BR004,AO015,Kredit Mikro,Mikro,49000000,21.0,18
DSB0000069,APP0000099,PR0000566,2026-01-19,BR005,AO018,Kredit Konsumtif,Konsumtif,49500000,18.0,18
DSB0000070,APP0000102,PR0000574,2026-05-01,BR003,AO009,Kredit Payroll,Payroll,148000000,15.5,36
DSB0000071,APP0000103,PR0000576,2025-08-31,BR001,AO003,Kredit Mikro,Mikro,49000000,21.0,18
DSB0000072,APP0000104,PR0000582,2025-10-31,BR003,AO010,Kredit Produktif SME,SME,143500000,19.0,60
DSB0000073,APP0000106,PR0000593,2025-10-18,BR006,AO023,Kredit Konsumtif,Konsumtif,48500000,18.0,12
DSB0000074,APP0000107,PR0000598,2025-09-20,BR007,AO028,Kredit Payroll,Payroll,74000000,15.5,60
DSB0000075,APP0000108,PR0000601,2025-09-12,BR001,AO001,Kredit Payroll,Payroll,95500000,15.5,60
DSB0000076,APP0000109,PR0000604,2026-07-01,BR005,AO019,Kredit Konsumtif,Konsumtif,70000000,18.0,12
DSB0000077,APP0000110,PR0000605,2025-10-01,BR007,AO027,Kredit Konsumtif,Konsumtif,123000000,18.0,36
DSB0000078,APP0000112,PR0000613,2025-10-20,BR003,AO011,Kredit Produktif SME,SME,193500000,19.0,12
DSB0000079,APP0000113,PR0000627,2025-10-27,BR001,AO003,Kredit Payroll,Payroll,95000000,15.5,36
DSB0000080,APP0000114,PR0000634,2026-05-19,BR002,AO007,Kredit Payroll,Payroll,49500000,15.5,60
DSB0000081,APP0000115,PR0000639,2026-01-17,BR001,AO001,Kredit Konsumtif,Konsumtif,143500000,18.0,36
DSB0000082,APP0000117,PR0000645,2025-11-30,BR002,AO006,Kredit Konsumtif,Konsumtif,71500000,18.0,18
DSB0000083,APP0000118,PR0000648,2026-03-03,BR005,AO019,Kredit Payroll,Payroll,94000000,15.5,24
DSB0000084,APP0000119,PR0000661,2026-05-31,BR006,AO021,Kredit Konsumtif,Konsumtif,47500000,18.0,36
DSB0000085,APP0000121,PR0000668,2025-12-17,BR001,AO003,Kredit Mikro,Mikro,49000000,21.0,18
DSB0000086,APP0000122,PR0000680,2026-05-07,BR003,AO009,Kredit Konsumtif,Konsumtif,147000000,18.0,18
DSB0000087,APP0000125,PR0000690,2025-10-25,BR005,AO018,Kredit Konsumtif,Konsumtif,122000000,18.0,12
DSB0000088,APP0000126,PR0000691,2025-10-26,BR006,AO022,Kredit Produktif SME,SME,192000000,19.0,12
DSB0000089,APP0000127,PR0000701,2025-12-14,BR003,AO009,Kredit Mikro,Mikro,19500000,21.0,12
DSB0000090,APP0000128,PR0000706,2026-05-28,BR001,AO003,Kredit Konsumtif,Konsumtif,124500000,18.0,36
DSB0000091,APP0000130,PR0000712,2026-02-27,BR003,AO009,Kredit Konsumtif,Konsumtif,92500000,18.0,18
DSB0000092,APP0000131,PR0000713,2025-08-22,BR002,AO006,Kredit Mikro,Mikro,98500000,21.0,12
DSB0000093,APP0000133,PR0000726,2025-10-31,BR004,AO013,Kredit Payroll,Payroll,149500000,15.5,48
DSB0000094,APP0000134,PR0000731,2025-12-18,BR002,AO008,Kredit Konsumtif,Konsumtif,124000000,18.0,36
DSB0000095,APP0000135,PR0000733,2025-08-23,BR006,AO022,Kredit Mikro,Mikro,19000000,21.0,36
DSB0000096,APP0000138,PR0000753,2026-06-25,BR002,AO005,Kredit Payroll,Payroll,189500000,15.5,36
DSB0000097,APP0000139,PR0000759,2025-12-10,BR003,AO011,Kredit Mikro,Mikro,28000000,21.0,24
DSB0000098,APP0000140,PR0000761,2025-10-14,BR006,AO021,Kredit Produktif SME,SME,975000000,19.0,48
DSB0000099,APP0000145,PR0000778,2026-05-31,BR001,AO001,Kredit Konsumtif,Konsumtif,93500000,18.0,12
DSB0000100,APP0000146,PR0000787,2025-10-09,BR001,AO004,Kredit Mikro,Mikro,20000000,21.0,36
DSB0000101,APP0000147,PR0000790,2026-05-27,BR006,AO021,Kredit Payroll,Payroll,99000000,15.5,48
DSB0000102,APP0000149,PR0000793,2026-06-19,BR001,AO003,Kredit Mikro,Mikro,73000000,21.0,24
DSB0000103,APP0000151,PR0000799,2026-03-11,BR004,AO016,Kredit Mikro,Mikro,18500000,21.0,12
DSB0000104,APP0000152,PR0000800,2026-02-18,BR003,AO011,Kredit Produktif SME,SME,942500000,19.0,36
DSB0000105,APP0000154,PR0000809,2026-03-03,BR002,AO008,Kredit Konsumtif,Konsumtif,48000000,18.0,18
DSB0000106,APP0000155,PR0000813,2026-01-31,BR002,AO007,Kredit Konsumtif,Konsumtif,97500000,18.0,12
DSB0000107,APP0000156,PR0000814,2026-03-03,BR006,AO021,Kredit Konsumtif,Konsumtif,28000000,18.0,12
DSB0000108,APP0000158,PR0000821,2025-10-24,BR004,AO014,Kredit Produktif SME,SME,743000000,19.0,48
DSB0000109,APP0000159,PR0000822,2025-10-01,BR005,AO020,Kredit Payroll,Payroll,186000000,15.5,36
DSB0000110,APP0000160,PR0000827,2026-04-28,BR007,AO028,Kredit Produktif SME,SME,186500000,19.0,24
DSB0000111,APP0000161,PR0000835,2026-03-03,BR001,AO001,Kredit Konsumtif,Konsumtif,72000000,18.0,24
DSB0000112,APP0000162,PR0000844,2026-05-01,BR001,AO003,Kredit Mikro,Mikro,74500000,21.0,18
DSB0000113,APP0000163,PR0000846,2025-09-17,BR007,AO028,Kredit Payroll,Payroll,188500000,15.5,12
DSB0000114,APP0000164,PR0000849,2025-11-26,BR007,AO027,Kredit Payroll,Payroll,48500000,15.5,60
DSB0000115,APP0000165,PR0000858,2026-03-03,BR002,AO007,Kredit Payroll,Payroll,47000000,15.5,36
DSB0000116,APP0000166,PR0000864,2025-08-29,BR002,AO006,Kredit Payroll,Payroll,193500000,15.5,12
DSB0000117,APP0000172,PR0000885,2025-10-31,BR006,AO021,Kredit Payroll,Payroll,47500000,15.5,12
DSB0000118,APP0000173,PR0000886,2025-08-31,BR001,AO002,Kredit Mikro,Mikro,46500000,21.0,12
DSB0000119,APP0000174,PR0000889,2026-06-19,BR006,AO023,Kredit Mikro,Mikro,19500000,21.0,24
DSB0000120,APP0000175,PR0000894,2025-11-27,BR004,AO015,Kredit Mikro,Mikro,99000000,21.0,12
DSB0000121,APP0000176,PR0000900,2025-08-21,BR003,AO010,Kredit Konsumtif,Konsumtif,124500000,18.0,24
DSB0000122,APP0000177,PR0000901,2025-12-20,BR001,AO001,Kredit Produktif SME,SME,489000000,19.0,36
DSB0000123,APP0000179,PR0000907,2025-12-29,BR001,AO001,Kredit Payroll,Payroll,49000000,15.5,24
DSB0000124,APP0000181,PR0000914,2026-02-08,BR007,AO028,Kredit Konsumtif,Konsumtif,147500000,18.0,18
DSB0000125,APP0000183,PR0000929,2026-06-09,BR002,AO006,Kredit Produktif SME,SME,938500000,19.0,48
DSB0000126,APP0000184,PR0000932,2026-04-15,BR002,AO007,Kredit Produktif SME,SME,148000000,19.0,48
DSB0000127,APP0000185,PR0000936,2025-08-07,BR001,AO001,Kredit Konsumtif,Konsumtif,71500000,18.0,12
DSB0000128,APP0000190,PR0000960,2026-04-16,BR005,AO017,Kredit Mikro,Mikro,94000000,21.0,12
DSB0000129,APP0000191,PR0000961,2025-11-17,BR001,AO001,Kredit Payroll,Payroll,184500000,15.5,48
DSB0000130,APP0000192,PR0000962,2026-01-21,BR002,AO006,Kredit Konsumtif,Konsumtif,70500000,18.0,36
DSB0000131,APP0000193,PR0000965,2025-09-26,BR006,AO024,Kredit Produktif SME,SME,94500000,19.0,24
DSB0000132,APP0000197,PR0000977,2026-01-31,BR001,AO003,Kredit Mikro,Mikro,20000000,21.0,36
DSB0000133,APP0000199,PR0000989,2025-10-01,BR004,AO013,Kredit Produktif SME,SME,957000000,19.0,60
DSB0000134,APP0000203,PR0001010,2026-05-31,BR003,AO011,Kredit Mikro,Mikro,75000000,21.0,12
DSB0000135,APP0000204,PR0001014,2025-11-13,BR002,AO008,Kredit Payroll,Payroll,46000000,15.5,36
DSB0000136,APP0000206,PR0001020,2026-02-28,BR003,AO010,Kredit Konsumtif,Konsumtif,27500000,18.0,36
DSB0000137,APP0000207,PR0001021,2026-05-25,BR002,AO007,Kredit Konsumtif,Konsumtif,140500000,18.0,24
DSB0000138,APP0000209,PR0001026,2026-01-25,BR003,AO011,Kredit Produktif SME,SME,925000000,19.0,48
DSB0000139,APP0000210,PR0001035,2026-03-21,BR007,AO027,Kredit Mikro,Mikro,19000000,21.0,12
DSB0000140,APP0000211,PR0001041,2026-05-23,BR002,AO008,Kredit Konsumtif,Konsumtif,28500000,18.0,24
DSB0000141,APP0000212,PR0001042,2026-04-15,BR005,AO017,Kredit Payroll,Payroll,72500000,15.5,12
DSB0000142,APP0000213,PR0001047,2025-12-31,BR001,AO004,Kredit Payroll,Payroll,146000000,15.5,48
DSB0000143,APP0000214,PR0001050,2026-01-14,BR007,AO026,Kredit Payroll,Payroll,48000000,15.5,12
DSB0000144,APP0000215,PR0001051,2026-03-02,BR006,AO021,Kredit Konsumtif,Konsumtif,93000000,18.0,24
DSB0000145,APP0000217,PR0001055,2025-12-31,BR001,AO002,Kredit Mikro,Mikro,94000000,21.0,36
DSB0000146,APP0000218,PR0001063,2026-07-01,BR004,AO015,Kredit Produktif SME,SME,97500000,19.0,12
DSB0000147,APP0000221,PR0001073,2025-08-27,BR006,AO024,Kredit Produktif SME,SME,187500000,19.0,24
DSB0000148,APP0000222,PR0001077,2025-12-01,BR005,AO019,Kredit Payroll,Payroll,47500000,15.5,60
DSB0000149,APP0000223,PR0001078,2025-09-10,BR002,AO006,Kredit Konsumtif,Konsumtif,28000000,18.0,12
DSB0000150,APP0000224,PR0001081,2025-10-01,BR002,AO007,Kredit Produktif SME,SME,187000000,19.0,36
DSB0000151,APP0000225,PR0001082,2026-05-13,BR006,AO023,Kredit Konsumtif,Konsumtif,92500000,18.0,18
DSB0000152,APP0000226,PR0001084,2025-12-31,BR005,AO020,Kredit Konsumtif,Konsumtif,122000000,18.0,18
DSB0000153,APP0000227,PR0001087,2025-12-19,BR006,AO024,Kredit Konsumtif,Konsumtif,70500000,18.0,36
DSB0000154,APP0000228,PR0001094,2025-11-30,BR004,AO016,Kredit Payroll,Payroll,187500000,15.5,60
DSB0000155,APP0000229,PR0001100,2025-10-18,BR002,AO006,Kredit Payroll,Payroll,69000000,15.5,60
DSB0000156,APP0000230,PR0001102,2026-03-31,BR002,AO006,Kredit Konsumtif,Konsumtif,148000000,18.0,24
DSB0000157,APP0000232,PR0001105,2026-03-03,BR004,AO013,Kredit Mikro,Mikro,28000000,21.0,18
DSB0000158,APP0000233,PR0001110,2026-07-01,BR007,AO028,Kredit Payroll,Payroll,197500000,15.5,12
DSB0000159,APP0000234,PR0001111,2026-06-22,BR003,AO012,Kredit Payroll,Payroll,199000000,15.5,48
DSB0000160,APP0000235,PR0001124,2026-02-19,BR002,AO005,Kredit Konsumtif,Konsumtif,28000000,18.0,12
DSB0000161,APP0000237,PR0001147,2026-03-31,BR005,AO020,Kredit Konsumtif,Konsumtif,28000000,18.0,18
DSB0000162,APP0000238,PR0001151,2026-01-11,BR003,AO009,Kredit Mikro,Mikro,47000000,21.0,24
DSB0000163,APP0000239,PR0001152,2026-03-03,BR003,AO009,Kredit Payroll,Payroll,144500000,15.5,12
DSB0000164,APP0000241,PR0001154,2026-03-03,BR006,AO024,Kredit Payroll,Payroll,49500000,15.5,48
DSB0000165,APP0000242,PR0001159,2025-10-17,BR003,AO012,Kredit Payroll,Payroll,190500000,15.5,48
DSB0000166,APP0000245,PR0001171,2026-04-18,BR006,AO021,Kredit Payroll,Payroll,146500000,15.5,24
DSB0000167,APP0000248,PR0001186,2026-03-03,BR005,AO019,Kredit Konsumtif,Konsumtif,93500000,18.0,18
DSB0000168,APP0000249,PR0001188,2026-04-27,BR005,AO019,Kredit Payroll,Payroll,189000000,15.5,60
DSB0000169,APP0000250,PR0001191,2025-08-21,BR003,AO010,Kredit Mikro,Mikro,70000000,21.0,36
DSB0000170,APP0000251,PR0001192,2026-05-31,BR003,AO012,Kredit Konsumtif,Konsumtif,96500000,18.0,12
DSB0000171,APP0000253,PR0001194,2026-05-01,BR003,AO012,Kredit Produktif SME,SME,998000000,19.0,12
DSB0000172,APP0000254,PR0001197,2026-02-25,BR007,AO028,Kredit Konsumtif,Konsumtif,123500000,18.0,24
DSB0000173,APP0000256,PR0001218,2025-11-15,BR005,AO019,Kredit Mikro,Mikro,18500000,21.0,12
DSB0000174,APP0000257,PR0001221,2026-02-23,BR005,AO019,Kredit Mikro,Mikro,19500000,21.0,12
DSB0000175,APP0000259,PR0001232,2025-10-24,BR006,AO021,Kredit Konsumtif,Konsumtif,46500000,18.0,24
DSB0000176,APP0000265,PR0001262,2025-08-22,BR003,AO011,Kredit Konsumtif,Konsumtif,46500000,18.0,36
DSB0000177,APP0000267,PR0001270,2026-03-10,BR004,AO013,Kredit Mikro,Mikro,28000000,21.0,12
DSB0000178,APP0000268,PR0001289,2026-05-17,BR001,AO004,Kredit Konsumtif,Konsumtif,120000000,18.0,24
DSB0000179,APP0000269,PR0001290,2026-06-17,BR001,AO002,Kredit Konsumtif,Konsumtif,48000000,18.0,12
DSB0000180,APP0000270,PR0001293,2026-03-24,BR007,AO025,Kredit Mikro,Mikro,28500000,21.0,12
DSB0000181,APP0000274,PR0001308,2026-05-31,BR001,AO002,Kredit Payroll,Payroll,140000000,15.5,48
DSB0000182,APP0000275,PR0001309,2025-09-29,BR004,AO014,Kredit Konsumtif,Konsumtif,124500000,18.0,24
DSB0000183,APP0000276,PR0001312,2025-07-31,BR002,AO006,Kredit Produktif SME,SME,185000000,19.0,48
DSB0000184,APP0000282,PR0001334,2026-04-26,BR002,AO007,Kredit Payroll,Payroll,197500000,15.5,36
DSB0000185,APP0000284,PR0001348,2026-02-22,BR005,AO019,Kredit Payroll,Payroll,148500000,15.5,12
DSB0000186,APP0000285,PR0001355,2026-03-11,BR007,AO025,Kredit Mikro,Mikro,28500000,21.0,24
DSB0000187,APP0000287,PR0001373,2026-01-30,BR006,AO024,Kredit Konsumtif,Konsumtif,118500000,18.0,18
DSB0000188,APP0000292,PR0001392,2026-03-28,BR006,AO022,Kredit Konsumtif,Konsumtif,122500000,18.0,36
DSB0000189,APP0000293,PR0001399,2026-05-15,BR001,AO002,Kredit Konsumtif,Konsumtif,147000000,18.0,12
DSB0000190,APP0000294,PR0001401,2026-06-20,BR001,AO004,Kredit Konsumtif,Konsumtif,70000000,18.0,18
DSB0000191,APP0000297,PR0001411,2026-03-31,BR001,AO001,Kredit Konsumtif,Konsumtif,72500000,18.0,12
DSB0000192,APP0000299,PR0001416,2025-12-01,BR004,AO013,Kredit Mikro,Mikro,70000000,21.0,36
DSB0000193,APP0000300,PR0001419,2026-01-31,BR001,AO003,Kredit Mikro,Mikro,30000000,21.0,24
DSB0000194,APP0000301,PR0001425,2026-02-23,BR006,AO022,Kredit Payroll,Payroll,46500000,15.5,36
DSB0000195,APP0000302,PR0001430,2025-09-18,BR004,AO013,Kredit Produktif SME,SME,726500000,19.0,60
DSB0000196,APP0000303,PR0001432,2026-03-23,BR006,AO022,Kredit Produktif SME,SME,99500000,19.0,60
DSB0000197,APP0000304,PR0001435,2026-05-31,BR005,AO019,Kredit Produktif SME,SME,147500000,19.0,36
DSB0000198,APP0000305,PR0001437,2026-03-19,BR004,AO013,Kredit Mikro,Mikro,71000000,21.0,24
DSB0000199,APP0000306,PR0001440,2026-06-20,BR003,AO010,Kredit Payroll,Payroll,149500000,15.5,48
DSB0000200,APP0000308,PR0001453,2026-05-31,BR005,AO019,Kredit Payroll,Payroll,95000000,15.5,24
DSB0000201,APP0000310,PR0001456,2025-08-18,BR001,AO001,Kredit Konsumtif,Konsumtif,29000000,18.0,36
DSB0000202,APP0000311,PR0001457,2026-04-25,BR006,AO022,Kredit Konsumtif,Konsumtif,92000000,18.0,12
DSB0000203,APP0000312,PR0001461,2026-06-18,BR001,AO003,Kredit Mikro,Mikro,95000000,21.0,36
DSB0000204,APP0000315,PR0001470,2025-12-15,BR001,AO003,Kredit Payroll,Payroll,69500000,15.5,24
DSB0000205,APP0000316,PR0001475,2026-04-19,BR003,AO011,Kredit Produktif SME,SME,280000000,19.0,36
DSB0000206,APP0000317,PR0001478,2026-05-25,BR005,AO019,Kredit Konsumtif,Konsumtif,47500000,18.0,24
DSB0000207,APP0000318,PR0001488,2026-03-03,BR002,AO005,Kredit Payroll,Payroll,186500000,15.5,12
DSB0000208,APP0000319,PR0001489,2026-03-21,BR001,AO003,Kredit Konsumtif,Konsumtif,143500000,18.0,18
DSB0000209,APP0000320,PR0001492,2026-02-19,BR007,AO027,Kredit Mikro,Mikro,47000000,21.0,24
DSB0000210,APP0000324,PR0001512,2026-05-26,BR002,AO008,Kredit Konsumtif,Konsumtif,125000000,18.0,24
DSB0000211,APP0000327,PR0001540,2026-06-23,BR005,AO017,Kredit Konsumtif,Konsumtif,99500000,18.0,18
DSB0000212,APP0000328,PR0001544,2025-12-31,BR001,AO004,Kredit Payroll,Payroll,188000000,15.5,48
DSB0000213,APP0000329,PR0001553,2025-08-26,BR001,AO002,Kredit Produktif SME,SME,148500000,19.0,24
DSB0000214,APP0000330,PR0001555,2025-10-01,BR006,AO022,Kredit Produktif SME,SME,710000000,19.0,48
DSB0000215,APP0000331,PR0001557,2026-05-20,BR005,AO018,Kredit Mikro,Mikro,75000000,21.0,24
DSB0000216,APP0000333,PR0001584,2026-02-21,BR001,AO004,Kredit Konsumtif,Konsumtif,29500000,18.0,36
DSB0000217,APP0000335,PR0001592,2026-03-27,BR001,AO002,Kredit Produktif SME,SME,150000000,19.0,12
DSB0000218,APP0000337,PR0001599,2026-02-20,BR004,AO014,Kredit Payroll,Payroll,49500000,15.5,60
DSB0000219,APP0000338,PR0001601,2026-05-15,BR004,AO014,Kredit Payroll,Payroll,47500000,15.5,24
DSB0000220,APP0000341,PR0001609,2025-12-13,BR003,AO010,Kredit Konsumtif,Konsumtif,141500000,18.0,36
DSB0000221,APP0000343,PR0001621,2026-05-26,BR004,AO014,Kredit Konsumtif,Konsumtif,47000000,18.0,18
DSB0000222,APP0000344,PR0001627,2026-03-05,BR002,AO008,Kredit Konsumtif,Konsumtif,99000000,18.0,24
DSB0000223,APP0000345,PR0001630,2026-04-30,BR001,AO002,Kredit Payroll,Payroll,72500000,15.5,36
DSB0000224,APP0000346,PR0001633,2026-03-14,BR002,AO006,Kredit Konsumtif,Konsumtif,123500000,18.0,18
DSB0000225,APP0000347,PR0001636,2026-07-01,BR003,AO010,Kredit Konsumtif,Konsumtif,115500000,18.0,12
DSB0000226,APP0000348,PR0001638,2025-11-15,BR001,AO003,Kredit Produktif SME,SME,958500000,19.0,36
DSB0000227,APP0000349,PR0001642,2026-05-01,BR005,AO020,Kredit Konsumtif,Konsumtif,144000000,18.0,12
DSB0000228,APP0000350,PR0001643,2025-07-13,BR003,AO010,Kredit Produktif SME,SME,937500000,19.0,12
DSB0000229,APP0000351,PR0001655,2025-11-13,BR005,AO018,Kredit Konsumtif,Konsumtif,49000000,18.0,24
DSB0000230,APP0000354,PR0001674,2025-10-21,BR005,AO017,Kredit Mikro,Mikro,93500000,21.0,36
DSB0000231,APP0000357,PR0001686,2025-12-31,BR001,AO003,Kredit Konsumtif,Konsumtif,124000000,18.0,12
DSB0000232,APP0000358,PR0001693,2026-06-10,BR003,AO010,Kredit Konsumtif,Konsumtif,48500000,18.0,18
DSB0000233,APP0000359,PR0001700,2025-12-26,BR007,AO026,Kredit Konsumtif,Konsumtif,49500000,18.0,24
