campaign_id,campaign_date,month,branch_id,source,campaign_type,campaign_name,ad_spend
CMP0000017,2025-07-18,2025-07-01,BR003,Telemarketing,Outbound,Telemarketing - Jul-2025 - 05,3865000
CMP0000018,2025-07-17,2025-07-01,BR002,WhatsApp,Digital,WhatsApp - Jul-2025 - 02,5980000
CMP0000019,2025-07-22,2025-07-01,BR005,WhatsApp,Digital,WhatsApp - Jul-2025 - 04,4475000
CMP0000020,2025-07-08,2025-07-01,BR003,Telemarketing,Outbound,Telemarketing - Jul-2025 - 07,5260000
CMP0000021,2025-07-11,2025-07-01,BR003,Facebook Ads,Digital,Facebook Ads - Jul-2025 - 05,11750000
CMP0000022,2025-07-25,2025-07-01,BR001,Walk-in,Organic/Branch,Walk-in - Jul-2025 - 04,1050000
CMP0000023,2025-07-03,2025-07-01,BR006,Facebook Ads,Digital,Facebook Ads - Jul-2025 - 01,10260000
CMP0000024,2025-07-27,2025-07-01,BR006,WhatsApp,Digital,WhatsApp - Jul-2025 - 02,3015000
CMP0000025,2025-07-20,2025-07-01,BR007,Instagram Ads,Digital,Instagram Ads - Jul-2025 - 07,10850000
CMP0000026,2025-07-13,2025-07-01,BR002,WhatsApp,Digital,WhatsApp - Jul-2025 - 01,3505000
CMP0000027,2025-07-12,2025-07-01,BR006,Telemarketing,Outbound,Telemarketing - Jul-2025 - 01,3950000
CMP0000028,2025-07-23,2025-07-01,BR006,Telemarketing,Outbound,Telemarketing - Jul-2025 - 03,2255000
CMP0000029,2025-07-02,2025-07-01,BR007,Instagram Ads,Digital,Instagram Ads - Jul-2025 - 05,7295000
CMP0000030,2025-07-02,2025-07-01,BR004,Referral,Organic/Referral,Referral - Jul-2025 - 06,1940000
CMP0000031,2025-07-15,2025-07-01,BR006,Instagram Ads,Digital,Instagram Ads - Jul-2025 - 04,11245000
CMP0000032,2025-07-05,2025-07-01,BR006,WhatsApp,Digital,WhatsApp - Jul-2025 - 03,5195000
CMP0000033,2025-07-27,2025-07-01,BR004,Referral,Organic/Referral,Referral - Jul-2025 - 07,1955000
CMP0000034,2025-07-17,2025-07-01,BR003,Facebook Ads,Digital,Facebook Ads - Jul-2025 - 06,9015000
CMP0000035,2025-07-12,2025-07-01,BR003,Facebook Ads,Digital,Facebook Ads - Jul-2025 - 09,8755000
CMP0000036,2025-07-14,2025-07-01,BR004,Facebook Ads,Digital,Facebook Ads - Jul-2025 - 04,12350000
CMP0000037,2025-07-21,2025-07-01,BR002,Event,Offline/Event,Event - Jul-2025 - 03,6060000
CMP0000038,2025-07-20,2025-07-01,BR001,Referral,Organic/Referral,Referral - Jul-2025 - 05,2680000
CMP0000039,2025-07-16,2025-07-01,BR002,Facebook Ads,Digital,Facebook Ads - Jul-2025 - 05,11190000
CMP0000040,2025-07-01,2025-07-01,BR002,Referral,Organic/Referral,Referral - Jul-2025 - 03,1480000
CMP0000041,2025-07-01,2025-07-01,BR003,WhatsApp,Digital,WhatsApp - Jul-2025 - 04,5460000
CMP0000042,2025-07-12,2025-07-01,BR006,Facebook Ads,Digital,Facebook Ads - Jul-2025 - 04,11850000
CMP0000043,2025-07-15,2025-07-01,BR007,Facebook Ads,Digital,Facebook Ads - Jul-2025 - 02,14255000
CMP0000044,2025-07-15,2025-07-01,BR001,Facebook Ads,Digital,Facebook Ads - Jul-2025 - 07,12040000
CMP0000045,2025-07-05,2025-07-01,BR006,Event,Offline/Event,Event - Jul-2025 - 04,6115000
CMP0000046,2025-07-12,2025-07-01,BR001,Facebook Ads,Digital,Facebook Ads - Jul-2025 - 09,15840000
CMP0000047,2025-07-21,2025-07-01,BR004,WhatsApp,Digital,WhatsApp - Jul-2025 - 03,6995000
CMP0000048,2025-07-28,2025-07-01,BR003,Instagram Ads,Digital,Instagram Ads - Jul-2025 - 02,8010000
CMP0000049,2025-08-25,2025-08-01,BR001,Instagram Ads,Digital,Instagram Ads - Aug-2025 - 07,5765000
CMP0000050,2025-08-21,2025-08-01,BR004,WhatsApp,Digital,WhatsApp - Aug-2025 - 04,4490000
CMP0000051,2025-08-26,2025-08-01,BR007,Facebook Ads,Digital,Facebook Ads - Aug-2025 - 08,9740000
CMP0000052,2025-08-17,2025-08-01,BR007,Referral,Organic/Referral,Referral - Aug-2025 - 03,2415000
CMP0000053,2025-08-11,2025-08-01,BR003,Walk-in,Organic/Branch,Walk-in - Aug-2025 - 08,780000
CMP0000054,2025-08-24,2025-08-01,BR002,Instagram Ads,Digital,Instagram Ads - Aug-2025 - 02,8520000
CMP0000055,2025-08-26,2025-08-01,BR007,Event,Offline/Event,Event - Aug-2025 - 02,4300000
CMP0000056,2025-08-09,2025-08-01,BR004,WhatsApp,Digital,WhatsApp - Aug-2025 - 08,4605000
CMP0000057,2025-08-01,2025-08-01,BR005,WhatsApp,Digital,WhatsApp - Aug-2025 - 03,5910000
CMP0000058,2025-08-28,2025-08-01,BR004,Referral,Organic/Referral,Referral - Aug-2025 - 04,2890000
CMP0000059,2025-08-07,2025-08-01,BR001,Event,Offline/Event,Event - Aug-2025 - 08,3195000
CMP0000060,2025-08-04,2025-08-01,BR007,Telemarketing,Outbound,Telemarketing - Aug-2025 - 05,3545000
CMP0000061,2025-08-03,2025-08-01,BR002,Referral,Organic/Referral,Referral - Aug-2025 - 05,2500000
CMP0000062,2025-08-02,2025-08-01,BR005,Instagram Ads,Digital,Instagram Ads - Aug-2025 - 06,8180000
CMP0000063,2025-08-03,2025-08-01,BR006,Instagram Ads,Digital,Instagram Ads - Aug-2025 - 08,4900000
CMP0000064,2025-08-24,2025-08-01,BR002,Telemarketing,Outbound,Telemarketing - Aug-2025 - 04,5530000
CMP0000065,2025-08-14,2025-08-01,BR002,Referral,Organic/Referral,Referral - Aug-2025 - 02,2545000
CMP0000066,2025-08-11,2025-08-01,BR001,Instagram Ads,Digital,Instagram Ads - Aug-2025 - 06,9930000
CMP0000067,2025-08-25,2025-08-01,BR005,Walk-in,Organic/Branch,Walk-in - Aug-2025 - 09,890000
CMP0000068,2025-08-28,2025-08-01,BR005,Event,Offline/Event,Event - Aug-2025 - 02,4535000
CMP0000069,2025-08-23,2025-08-01,BR005,Instagram Ads,Digital,Instagram Ads - Aug-2025 - 02,10945000
CMP0000070,2025-08-20,2025-08-01,BR004,Facebook Ads,Digital,Facebook Ads - Aug-2025 - 07,14875000
CMP0000071,2025-08-20,2025-08-01,BR005,Event,Offline/Event,Event - Aug-2025 - 04,6680000
CMP0000072,2025-08-09,2025-08-01,BR001,WhatsApp,Digital,WhatsApp - Aug-2025 - 06,5055000
CMP0000073,2025-08-26,2025-08-01,BR003,Facebook Ads,Digital,Facebook Ads - Aug-2025 - 07,13055000
CMP0000074,2025-08-18,2025-08-01,BR002,WhatsApp,Digital,WhatsApp - Aug-2025 - 09,4380000
CMP0000075,2025-08-12,2025-08-01,BR003,WhatsApp,Digital,WhatsApp - Aug-2025 - 04,6385000
CMP0000076,2025-08-28,2025-08-01,BR005,Facebook Ads,Digital,Facebook Ads - Aug-2025 - 09,9845000
CMP0000077,2025-08-02,2025-08-01,BR005,Facebook Ads,Digital,Facebook Ads - Aug-2025 - 06,13690000
CMP0000078,2025-08-05,2025-08-01,BR006,Facebook Ads,Digital,Facebook Ads - Aug-2025 - 02,7305000
CMP0000079,2025-08-17,2025-08-01,BR001,Instagram Ads,Digital,Instagram Ads - Aug-2025 - 04,7730000
CMP0000080,2025-08-24,2025-08-01,BR003,Facebook Ads,Digital,Facebook Ads - Aug-2025 - 02,6995000
CMP0000081,2025-08-14,2025-08-01,BR002,Referral,Organic/Referral,Referral - Aug-2025 - 09,2830000
CMP0000082,2025-08-18,2025-08-01,BR004,Instagram Ads,Digital,Instagram Ads - Aug-2025 - 07,5530000
CMP0000083,2025-08-05,2025-08-01,BR004,Instagram Ads,Digital,Instagram Ads - Aug-2025 - 04,8225000
CMP0000084,2025-08-18,2025-08-01,BR006,WhatsApp,Digital,WhatsApp - Aug-2025 - 08,5325000
CMP0000085,2025-08-28,2025-08-01,BR001,Telemarketing,Outbound,Telemarketing - Aug-2025 - 04,4060000
CMP0000086,2025-08-23,2025-08-01,BR007,Walk-in,Organic/Branch,Walk-in - Aug-2025 - 03,655000
CMP0000087,2025-08-26,2025-08-01,BR002,Walk-in,Organic/Branch,Walk-in - Aug-2025 - 07,1290000
CMP0000088,2025-08-11,2025-08-01,BR001,Telemarketing,Outbound,Telemarketing - Aug-2025 - 03,5840000
CMP0000089,2025-08-14,2025-08-01,BR004,Telemarketing,Outbound,Telemarketing - Aug-2025 - 01,3500000
CMP0000090,2025-08-06,2025-08-01,BR002,WhatsApp,Digital,WhatsApp - Aug-2025 - 04,4170000
CMP0000091,2025-08-09,2025-08-01,BR007,Telemarketing,Outbound,Telemarketing - Aug-2025 - 04,5365000
CMP0000092,2025-09-24,2025-09-01,BR007,Facebook Ads,Digital,Facebook Ads - Sep-2025 - 08,6730000
CMP0000093,2025-09-15,2025-09-01,BR007,Instagram Ads,Digital,Instagram Ads - Sep-2025 - 04,9120000
CMP0000094,2025-09-22,2025-09-01,BR004,Referral,Organic/Referral,Referral - Sep-2025 - 05,2005000
CMP0000095,2025-09-20,2025-09-01,BR004,Walk-in,Organic/Branch,Walk-in - Sep-2025 - 01,1330000
CMP0000096,2025-09-09,2025-09-01,BR006,WhatsApp,Digital,WhatsApp - Sep-2025 - 05,3545000
CMP0000097,2025-09-16,2025-09-01,BR007,Walk-in,Organic/Branch,Walk-in - Sep-2025 - 02,1380000
CMP0000098,2025-09-14,2025-09-01,BR005,Facebook Ads,Digital,Facebook Ads - Sep-2025 - 09,14885000
CMP0000099,2025-09-01,2025-09-01,BR005,WhatsApp,Digital,WhatsApp - Sep-2025 - 08,3955000
CMP0000100,2025-09-10,2025-09-01,BR004,Walk-in,Organic/Branch,Walk-in - Sep-2025 - 04,1145000
CMP0000101,2025-09-24,2025-09-01,BR007,Facebook Ads,Digital,Facebook Ads - Sep-2025 - 07,14450000
CMP0000102,2025-09-12,2025-09-01,BR003,Referral,Organic/Referral,Referral - Sep-2025 - 01,2085000
CMP0000103,2025-09-15,2025-09-01,BR001,Instagram Ads,Digital,Instagram Ads - Sep-2025 - 08,8930000
CMP0000104,2025-09-18,2025-09-01,BR002,Facebook Ads,Digital,Facebook Ads - Sep-2025 - 04,13795000
CMP0000105,2025-09-06,2025-09-01,BR006,WhatsApp,Digital,WhatsApp - Sep-2025 - 09,6530000
CMP0000106,2025-09-14,2025-09-01,BR003,Telemarketing,Outbound,Telemarketing - Sep-2025 - 07,4215000
CMP0000107,2025-09-17,2025-09-01,BR002,Instagram Ads,Digital,Instagram Ads - Sep-2025 - 07,9435000
CMP0000108,2025-09-27,2025-09-01,BR004,WhatsApp,Digital,WhatsApp - Sep-2025 - 07,3710000
CMP0000109,2025-09-14,2025-09-01,BR006,WhatsApp,Digital,WhatsApp - Sep-2025 - 05,5975000
CMP0000110,2025-09-22,2025-09-01,BR005,Walk-in,Organic/Branch,Walk-in - Sep-2025 - 04,1385000
CMP0000111,2025-09-04,2025-09-01,BR003,Telemarketing,Outbound,Telemarketing - Sep-2025 - 06,2550000
CMP0000112,2025-09-06,2025-09-01,BR002,WhatsApp,Digital,WhatsApp - Sep-2025 - 02,5270000
CMP0000113,2025-09-27,2025-09-01,BR005,Facebook Ads,Digital,Facebook Ads - Sep-2025 - 06,17635000
CMP0000114,2025-09-07,2025-09-01,BR004,Event,Offline/Event,Event - Sep-2025 - 05,3655000
CMP0000115,2025-09-02,2025-09-01,BR001,Instagram Ads,Digital,Instagram Ads - Sep-2025 - 03,8835000
CMP0000116,2025-09-19,2025-09-01,BR004,Walk-in,Organic/Branch,Walk-in - Sep-2025 - 02,650000
CMP0000117,2025-09-14,2025-09-01,BR002,Facebook Ads,Digital,Facebook Ads - Sep-2025 - 05,7710000
CMP0000118,2025-09-28,2025-09-01,BR004,WhatsApp,Digital,WhatsApp - Sep-2025 - 02,3165000
CMP0000119,2025-09-03,2025-09-01,BR007,WhatsApp,Digital,WhatsApp - Sep-2025 - 08,7665000
CMP0000120,2025-09-05,2025-09-01,BR004,Facebook Ads,Digital,Facebook Ads - Sep-2025 - 05,8465000
CMP0000121,2025-09-07,2025-09-01,BR001,Referral,Organic/Referral,Referral - Sep-2025 - 03,2635000
CMP0000122,2025-09-10,2025-09-01,BR007,Event,Offline/Event,Event - Sep-2025 - 09,4045000
CMP0000123,2025-09-10,2025-09-01,BR004,Referral,Organic/Referral,Referral - Sep-2025 - 07,1340000
CMP0000124,2025-09-23,2025-09-01,BR007,Referral,Organic/Referral,Referral - Sep-2025 - 02,1275000
CMP0000125,2025-09-05,2025-09-01,BR004,Instagram Ads,Digital,Instagram Ads - Sep-2025 - 05,12125000
CMP0000126,2025-09-14,2025-09-01,BR004,Walk-in,Organic/Branch,Walk-in - Sep-2025 - 05,1160000
CMP0000127,2025-09-26,2025-09-01,BR002,Referral,Organic/Referral,Referral - Sep-2025 - 02,1250000
CMP0000128,2025-09-01,2025-09-01,BR002,Telemarketing,Outbound,Telemarketing - Sep-2025 - 06,4090000
CMP0000129,2025-09-03,2025-09-01,BR006,Referral,Organic/Referral,Referral - Sep-2025 - 04,2940000
CMP0000130,2025-10-20,2025-10-01,BR005,Instagram Ads,Digital,Instagram Ads - Oct-2025 - 06,7065000
CMP0000131,2025-10-03,2025-10-01,BR003,WhatsApp,Digital,WhatsApp - Oct-2025 - 02,5840000
CMP0000132,2025-10-22,2025-10-01,BR001,Facebook Ads,Digital,Facebook Ads - Oct-2025 - 02,18420000
CMP0000133,2025-10-10,2025-10-01,BR004,Telemarketing,Outbound,Telemarketing - Oct-2025 - 06,5340000
CMP0000134,2025-10-16,2025-10-01,BR004,Walk-in,Organic/Branch,Walk-in - Oct-2025 - 06,1470000
CMP0000135,2025-10-08,2025-10-01,BR002,Telemarketing,Outbound,Telemarketing - Oct-2025 - 06,3605000
CMP0000136,2025-10-18,2025-10-01,BR006,Facebook Ads,Digital,Facebook Ads - Oct-2025 - 01,17290000
CMP0000137,2025-10-17,2025-10-01,BR001,Referral,Organic/Referral,Referral - Oct-2025 - 06,1265000
CMP0000138,2025-10-26,2025-10-01,BR003,Telemarketing,Outbound,Telemarketing - Oct-2025 - 09,3785000
CMP0000139,2025-10-20,2025-10-01,BR005,WhatsApp,Digital,WhatsApp - Oct-2025 - 03,7140000
CMP0000140,2025-10-11,2025-10-01,BR003,WhatsApp,Digital,WhatsApp - Oct-2025 - 08,8180000
CMP0000141,2025-10-19,2025-10-01,BR007,Walk-in,Organic/Branch,Walk-in - Oct-2025 - 05,800000
CMP0000142,2025-10-01,2025-10-01,BR001,WhatsApp,Digital,WhatsApp - Oct-2025 - 02,3660000
CMP0000143,2025-10-13,2025-10-01,BR002,Referral,Organic/Referral,Referral - Oct-2025 - 06,2415000
CMP0000144,2025-10-04,2025-10-01,BR006,Referral,Organic/Referral,Referral - Oct-2025 - 02,1360000
CMP0000145,2025-10-18,2025-10-01,BR003,Telemarketing,Outbound,Telemarketing - Oct-2025 - 03,3520000
CMP0000146,2025-10-11,2025-10-01,BR006,Event,Offline/Event,Event - Oct-2025 - 04,6910000
CMP0000147,2025-10-22,2025-10-01,BR005,Facebook Ads,Digital,Facebook Ads - Oct-2025 - 09,8865000
CMP0000148,2025-10-15,2025-10-01,BR002,Instagram Ads,Digital,Instagram Ads - Oct-2025 - 01,8080000
CMP0000149,2025-10-07,2025-10-01,BR004,Event,Offline/Event,Event - Oct-2025 - 07,6090000
CMP0000150,2025-10-22,2025-10-01,BR004,Telemarketing,Outbound,Telemarketing - Oct-2025 - 03,5475000
CMP0000151,2025-10-06,2025-10-01,BR005,WhatsApp,Digital,WhatsApp - Oct-2025 - 06,5295000
CMP0000152,2025-10-09,2025-10-01,BR002,Walk-in,Organic/Branch,Walk-in - Oct-2025 - 06,1130000
CMP0000153,2025-10-26,2025-10-01,BR002,Instagram Ads,Digital,Instagram Ads - Oct-2025 - 08,9030000
CMP0000154,2025-10-07,2025-10-01,BR003,Facebook Ads,Digital,Facebook Ads - Oct-2025 - 02,16900000
CMP0000155,2025-10-23,2025-10-01,BR006,Telemarketing,Outbound,Telemarketing - Oct-2025 - 04,3765000
CMP0000156,2025-10-18,2025-10-01,BR002,WhatsApp,Digital,WhatsApp - Oct-2025 - 08,6585000
CMP0000157,2025-10-25,2025-10-01,BR007,Instagram Ads,Digital,Instagram Ads - Oct-2025 - 08,11695000
CMP0000158,2025-10-21,2025-10-01,BR005,Referral,Organic/Referral,Referral - Oct-2025 - 02,2355000
CMP0000159,2025-10-26,2025-10-01,BR002,WhatsApp,Digital,WhatsApp - Oct-2025 - 04,3815000
CMP0000160,2025-10-17,2025-10-01,BR007,Instagram Ads,Digital,Instagram Ads - Oct-2025 - 05,12140000
CMP0000161,2025-10-19,2025-10-01,BR002,WhatsApp,Digital,WhatsApp - Oct-2025 - 04,6160000
CMP0000162,2025-10-01,2025-10-01,BR004,Facebook Ads,Digital,Facebook Ads - Oct-2025 - 01,7505000
CMP0000163,2025-10-12,2025-10-01,BR005,Telemarketing,Outbound,Telemarketing - Oct-2025 - 02,3265000
CMP0000164,2025-10-02,2025-10-01,BR004,Event,Offline/Event,Event - Oct-2025 - 01,5655000
CMP0000165,2025-10-02,2025-10-01,BR005,WhatsApp,Digital,WhatsApp - Oct-2025 - 01,8245000
CMP0000166,2025-10-07,2025-10-01,BR006,WhatsApp,Digital,WhatsApp - Oct-2025 - 04,6735000
CMP0000167,2025-10-20,2025-10-01,BR004,Facebook Ads,Digital,Facebook Ads - Oct-2025 - 09,11245000
CMP0000168,2025-10-05,2025-10-01,BR002,Telemarketing,Outbound,Telemarketing - Oct-2025 - 01,2945000
CMP0000169,2025-11-01,2025-11-01,BR003,Facebook Ads,Digital,Facebook Ads - Nov-2025 - 03,13840000
CMP0000170,2025-11-03,2025-11-01,BR006,Facebook Ads,Digital,Facebook Ads - Nov-2025 - 03,18030000
CMP0000171,2025-11-15,2025-11-01,BR006,Event,Offline/Event,Event - Nov-2025 - 04,4140000
CMP0000172,2025-11-12,2025-11-01,BR004,Event,Offline/Event,Event - Nov-2025 - 06,7375000
CMP0000173,2025-11-13,2025-11-01,BR005,Facebook Ads,Digital,Facebook Ads - Nov-2025 - 09,11240000
CMP0000174,2025-11-16,2025-11-01,BR003,Telemarketing,Outbound,Telemarketing - Nov-2025 - 05,3250000
CMP0000175,2025-11-18,2025-11-01,BR002,Referral,Organic/Referral,Referral - Nov-2025 - 06,2085000
CMP0000176,2025-11-17,2025-11-01,BR001,Facebook Ads,Digital,Facebook Ads - Nov-2025 - 08,13650000
CMP0000177,2025-11-27,2025-11-01,BR004,Instagram Ads,Digital,Instagram Ads - Nov-2025 - 07,5430000
CMP0000178,2025-11-11,2025-11-01,BR003,WhatsApp,Digital,WhatsApp - Nov-2025 - 05,3415000
CMP0000179,2025-11-06,2025-11-01,BR007,WhatsApp,Digital,WhatsApp - Nov-2025 - 09,8075000
CMP0000180,2025-11-15,2025-11-01,BR005,Instagram Ads,Digital,Instagram Ads - Nov-2025 - 01,8605000
CMP0000181,2025-11-27,2025-11-01,BR006,Event,Offline/Event,Event - Nov-2025 - 02,4610000
CMP0000182,2025-11-22,2025-11-01,BR006,Instagram Ads,Digital,Instagram Ads - Nov-2025 - 03,5530000
CMP0000183,2025-11-15,2025-11-01,BR004,Event,Offline/Event,Event - Nov-2025 - 02,5380000
CMP0000184,2025-11-28,2025-11-01,BR006,WhatsApp,Digital,WhatsApp - Nov-2025 - 06,8770000
CMP0000185,2025-11-23,2025-11-01,BR003,WhatsApp,Digital,WhatsApp - Nov-2025 - 04,7785000
CMP0000186,2025-11-12,2025-11-01,BR003,Facebook Ads,Digital,Facebook Ads - Nov-2025 - 07,13185000
CMP0000187,2025-11-05,2025-11-01,BR007,WhatsApp,Digital,WhatsApp - Nov-2025 - 01,3480000
CMP0000188,2025-11-23,2025-11-01,BR006,Instagram Ads,Digital,Instagram Ads - Nov-2025 - 09,7100000
CMP0000189,2025-11-04,2025-11-01,BR005,Facebook Ads,Digital,Facebook Ads - Nov-2025 - 04,7710000
CMP0000190,2025-11-21,2025-11-01,BR007,Walk-in,Organic/Branch,Walk-in - Nov-2025 - 05,1805000
CMP0000191,2025-11-18,2025-11-01,BR003,Referral,Organic/Referral,Referral - Nov-2025 - 01,1820000
CMP0000192,2025-11-01,2025-11-01,BR004,Facebook Ads,Digital,Facebook Ads - Nov-2025 - 07,9305000
CMP0000193,2025-11-03,2025-11-01,BR005,WhatsApp,Digital,WhatsApp - Nov-2025 - 04,7660000
CMP0000194,2025-11-16,2025-11-01,BR001,Referral,Organic/Referral,Referral - Nov-2025 - 08,2795000
CMP0000195,2025-11-05,2025-11-01,BR002,Instagram Ads,Digital,Instagram Ads - Nov-2025 - 05,11635000
CMP0000196,2025-11-13,2025-11-01,BR004,Referral,Organic/Referral,Referral - Nov-2025 - 02,2985000
CMP0000197,2025-11-01,2025-11-01,BR006,Event,Offline/Event,Event - Nov-2025 - 04,5720000
CMP0000198,2025-11-20,2025-11-01,BR004,Walk-in,Organic/Branch,Walk-in - Nov-2025 - 06,940000
CMP0000199,2025-11-28,2025-11-01,BR007,Event,Offline/Event,Event - Nov-2025 - 05,6110000
CMP0000200,2025-11-17,2025-11-01,BR003,Telemarketing,Outbound,Telemarketing - Nov-2025 - 08,4535000
CMP0000201,2025-11-05,2025-11-01,BR005,Walk-in,Organic/Branch,Walk-in - Nov-2025 - 02,1105000
CMP0000202,2025-11-05,2025-11-01,BR002,Walk-in,Organic/Branch,Walk-in - Nov-2025 - 03,1680000
CMP0000203,2025-11-28,2025-11-01,BR005,WhatsApp,Digital,WhatsApp - Nov-2025 - 08,6175000
CMP0000204,2025-11-18,2025-11-01,BR001,Facebook Ads,Digital,Facebook Ads - Nov-2025 - 02,16560000
CMP0000205,2025-11-01,2025-11-01,BR003,Event,Offline/Event,Event - Nov-2025 - 02,4105000
CMP0000206,2025-11-25,2025-11-01,BR002,Referral,Organic/Referral,Referral - Nov-2025 - 01,3330000
CMP0000207,2025-11-23,2025-11-01,BR001,Telemarketing,Outbound,Telemarketing - Nov-2025 - 04,4015000
CMP0000208,2025-11-02,2025-11-01,BR003,Facebook Ads,Digital,Facebook Ads - Nov-2025 - 04,7685000
CMP0000209,2025-11-03,2025-11-01,BR005,WhatsApp,Digital,WhatsApp - Nov-2025 - 07,5410000
CMP0000210,2025-11-20,2025-11-01,BR002,Facebook Ads,Digital,Facebook Ads - Nov-2025 - 09,9585000
CMP0000211,2025-11-08,2025-11-01,BR003,Walk-in,Organic/Branch,Walk-in - Nov-2025 - 02,1295000
CMP0000212,2025-11-20,2025-11-01,BR004,WhatsApp,Digital,WhatsApp - Nov-2025 - 01,5165000
CMP0000213,2025-11-27,2025-11-01,BR001,Referral,Organic/Referral,Referral - Nov-2025 - 02,3290000
CMP0000214,2025-11-03,2025-11-01,BR005,Telemarketing,Outbound,Telemarketing - Nov-2025 - 06,5060000
CMP0000215,2025-11-27,2025-11-01,BR006,Instagram Ads,Digital,Instagram Ads - Nov-2025 - 09,8500000
CMP0000216,2025-11-27,2025-11-01,BR003,WhatsApp,Digital,WhatsApp - Nov-2025 - 09,6185000
CMP0000217,2025-12-09,2025-12-01,BR003,Telemarketing,Outbound,Telemarketing - Dec-2025 - 06,3500000
CMP0000218,2025-12-11,2025-12-01,BR004,WhatsApp,Digital,WhatsApp - Dec-2025 - 09,8160000
CMP0000219,2025-12-15,2025-12-01,BR003,Walk-in,Organic/Branch,Walk-in - Dec-2025 - 07,765000
CMP0000220,2025-12-24,2025-12-01,BR006,Walk-in,Organic/Branch,Walk-in - Dec-2025 - 05,985000
CMP0000221,2025-12-03,2025-12-01,BR003,Walk-in,Organic/Branch,Walk-in - Dec-2025 - 09,890000
CMP0000222,2025-12-27,2025-12-01,BR004,WhatsApp,Digital,WhatsApp - Dec-2025 - 03,4055000
CMP0000223,2025-12-15,2025-12-01,BR003,Referral,Organic/Referral,Referral - Dec-2025 - 06,2395000
CMP0000224,2025-12-28,2025-12-01,BR002,Event,Offline/Event,Event - Dec-2025 - 01,4335000
CMP0000225,2025-12-18,2025-12-01,BR005,Instagram Ads,Digital,Instagram Ads - Dec-2025 - 03,9220000
CMP0000226,2025-12-19,2025-12-01,BR003,WhatsApp,Digital,WhatsApp - Dec-2025 - 03,6200000
CMP0000227,2025-12-03,2025-12-01,BR002,WhatsApp,Digital,WhatsApp - Dec-2025 - 01,3775000
CMP0000228,2025-12-14,2025-12-01,BR007,Facebook Ads,Digital,Facebook Ads - Dec-2025 - 04,17705000
CMP0000229,2025-12-22,2025-12-01,BR001,Facebook Ads,Digital,Facebook Ads - Dec-2025 - 03,15625000
CMP0000230,2025-12-01,2025-12-01,BR004,Instagram Ads,Digital,Instagram Ads - Dec-2025 - 06,12665000
CMP0000231,2025-12-28,2025-12-01,BR006,Walk-in,Organic/Branch,Walk-in - Dec-2025 - 07,1715000
CMP0000232,2025-12-25,2025-12-01,BR005,Instagram Ads,Digital,Instagram Ads - Dec-2025 - 02,10660000
CMP0000233,2025-12-19,2025-12-01,BR002,Facebook Ads,Digital,Facebook Ads - Dec-2025 - 09,18280000
CMP0000234,2025-12-26,2025-12-01,BR002,WhatsApp,Digital,WhatsApp - Dec-2025 - 07,5875000
CMP0000235,2025-12-17,2025-12-01,BR006,Instagram Ads,Digital,Instagram Ads - Dec-2025 - 08,6015000
CMP0000236,2025-12-22,2025-12-01,BR007,Walk-in,Organic/Branch,Walk-in - Dec-2025 - 04,1500000
CMP0000237,2025-12-20,2025-12-01,BR003,WhatsApp,Digital,WhatsApp - Dec-2025 - 06,7255000
CMP0000238,2025-12-04,2025-12-01,BR005,Facebook Ads,Digital,Facebook Ads - Dec-2025 - 07,7525000
