application_id,prospect_id,application_date,decision_date,ao_id,branch_id,product,segment,requested_amount,monthly_income,tenor_months,application_status,processing_days
APP0000021,PR0000134,2025-11-08,2025-11-11,AO019,BR005,Kredit Konsumtif,Konsumtif,125000000,5837493,24,Rejected,3
APP0000022,PR0000137,2026-06-10,2026-06-12,AO021,BR006,Kredit Produktif SME,SME,150000000,19522119,12,Approved,2
APP0000023,PR0000142,2025-09-15,2025-09-16,AO015,BR004,Kredit Payroll,Payroll,100000000,12731352,12,Approved,1
APP0000024,PR0000146,2025-10-06,2025-10-07,AO002,BR001,Kredit Payroll,Payroll,100000000,7961450,60,Rejected,1
APP0000025,PR0000151,2026-02-20,2026-02-27,AO005,BR002,Kredit Produktif SME,SME,750000000,19880312,12,Rejected,7
APP0000026,PR0000155,2025-11-18,2025-11-25,AO003,BR001,Kredit Konsumtif,Konsumtif,30000000,6245835,18,Approved,7
APP0000027,PR0000158,2026-04-10,2026-04-13,AO002,BR001,Kredit Konsumtif,Konsumtif,50000000,6176372,24,Approved,3
APP0000028,PR0000160,2026-03-06,2026-03-07,AO009,BR003,Kredit Produktif SME,SME,100000000,20277889,60,Approved,1
APP0000029,PR0000161,2026-05-20,2026-05-24,AO002,BR001,Kredit Konsumtif,Konsumtif,125000000,6575337,12,Approved,4
APP0000030,PR0000183,2025-11-10,2025-11-16,AO002,BR001,Kredit Mikro,Mikro,100000000,5834995,12,Approved,6
APP0000031,PR0000184,2026-06-14,2026-06-17,AO001,BR001,Kredit Konsumtif,Konsumtif,100000000,6353217,12,Cancelled,3
APP0000032,PR0000185,2025-12-24,2025-12-27,AO007,BR002,Kredit Produktif SME,SME,150000000,25977611,60,Rejected,3
APP0000033,PR0000186,2026-05-21,2026-05-23,AO027,BR007,Kredit Mikro,Mikro,50000000,5190112,24,Approved,2
APP0000034,PR0000189,2026-04-24,2026-04-30,AO004,BR001,Kredit Konsumtif,Konsumtif,30000000,8400066,36,Approved,6
APP0000035,PR0000193,2026-04-23,2026-04-25,AO027,BR007,Kredit Konsumtif,Konsumtif,125000000,7365124,12,Approved,2
APP0000036,PR0000198,2025-11-14,2025-11-16,AO022,BR006,Kredit Konsumtif,Konsumtif,150000000,7894594,24,Approved,2
APP0000037,PR0000210,2025-10-06,2025-10-09,AO002,BR001,Kredit Payroll,Payroll,50000000,7855654,48,Cancelled,3
APP0000038,PR0000212,2026-04-27,2026-04-30,AO017,BR005,Kredit Konsumtif,Konsumtif,150000000,7269753,24,Rejected,3
APP0000039,PR0000215,2026-04-25,2026-04-26,AO012,BR003,Kredit Konsumtif,Konsumtif,150000000,6283819,12,Approved,1
APP0000040,PR0000231,2026-03-22,2026-03-26,AO021,BR006,Kredit Konsumtif,Konsumtif,150000000,4341287,36,Approved,4
APP0000041,PR0000234,2026-02-05,2026-02-09,AO022,BR006,Kredit Payroll,Payroll,100000000,8052154,36,Approved,4
APP0000042,PR0000235,2025-10-10,2025-10-13,AO023,BR006,Kredit Mikro,Mikro,30000000,7203598,12,Approved,3
APP0000043,PR0000247,2025-11-05,2025-11-06,AO011,BR003,Kredit Payroll,Payroll,200000000,9050787,36,Approved,1
APP0000044,PR0000255,2025-11-07,2025-11-12,AO023,BR006,Kredit Mikro,Mikro,30000000,7389367,12,Approved,5
APP0000045,PR0000256,2026-05-29,2026-05-30,AO003,BR001,Kredit Mikro,Mikro,50000000,2633612,24,Approved,1
APP0000046,PR0000260,2026-06-02,2026-06-04,AO010,BR003,Kredit Produktif SME,SME,200000000,26740757,48,Approved,2
APP0000047,PR0000270,2025-07-29,2025-07-30,AO016,BR004,Kredit Konsumtif,Konsumtif,125000000,8687582,24,Approved,1
APP0000048,PR0000271,2025-09-14,2025-09-16,AO003,BR001,Kredit Payroll,Payroll,75000000,7500411,24,Approved,2
APP0000049,PR0000278,2026-05-07,2026-05-09,AO012,BR003,Kredit Produktif SME,SME,500000000,19558777,36,Rejected,2
APP0000050,PR0000284,2025-09-14,2025-09-17,AO011,BR003,Kredit Konsumtif,Konsumtif,50000000,7069936,12,Rejected,3
APP0000051,PR0000288,2026-05-12,2026-05-13,AO011,BR003,Kredit Payroll,Payroll,100000000,8345862,24,Rejected,1
APP0000052,PR0000291,2025-10-14,2025-10-15,AO027,BR007,Kredit Mikro,Mikro,30000000,2500000,18,Approved,1
APP0000053,PR0000307,2026-02-23,2026-02-27,AO006,BR002,Kredit Konsumtif,Konsumtif,100000000,9138385,24,Approved,4
APP0000054,PR0000319,2025-10-18,2025-10-19,AO013,BR004,Kredit Mikro,Mikro,20000000,5760637,36,Cancelled,1
APP0000055,PR0000328,2025-11-03,2025-11-13,AO010,BR003,Kredit Mikro,Mikro,75000000,5519469,12,Approved,10
APP0000056,PR0000331,2025-08-20,2025-08-21,AO015,BR004,Kredit Payroll,Payroll,100000000,6956681,24,Approved,1
APP0000057,PR0000332,2026-02-17,2026-02-18,AO022,BR006,Kredit Konsumtif,Konsumtif,75000000,6094316,18,Approved,1
APP0000058,PR0000339,2026-06-06,2026-06-09,AO007,BR002,Kredit Produktif SME,SME,150000000,17225280,48,Rejected,3
APP0000059,PR0000344,2025-12-25,2025-12-30,AO004,BR001,Kredit Mikro,Mikro,75000000,7717792,24,Approved,5
APP0000060,PR0000353,2026-03-06,2026-03-09,AO002,BR001,Kredit Konsumtif,Konsumtif,30000000,6712717,36,Approved,3
APP0000061,PR0000355,2025-12-10,2025-12-11,AO014,BR004,Kredit Payroll,Payroll,200000000,12501103,36,Approved,1
APP0000062,PR0000359,2026-06-12,2026-06-16,AO026,BR007,Kredit Mikro,Mikro,20000000,3470786,24,Approved,4
APP0000063,PR0000363,2026-06-12,2026-06-16,AO004,BR001,Kredit Payroll,Payroll,150000000,8026038,60,Approved,4
APP0000064,PR0000369,2025-11-21,2025-11-22,AO004,BR001,Kredit Mikro,Mikro,30000000,4896719,36,Approved,1
APP0000065,PR0000374,2026-02-25,2026-03-02,AO019,BR005,Kredit Produktif SME,SME,100000000,8524852,48,Approved,5
APP0000066,PR0000375,2025-10-25,2025-10-28,AO005,BR002,Kredit Payroll,Payroll,50000000,10947412,12,Approved,3
APP0000067,PR0000380,2025-08-27,2025-08-29,AO024,BR006,Kredit Payroll,Payroll,200000000,4500000,60,Approved,2
APP0000068,PR0000389,2025-11-02,2025-11-07,AO010,BR003,Kredit Payroll,Payroll,100000000,9441508,48,Approved,5
APP0000069,PR0000390,2025-08-03,2025-08-06,AO018,BR005,Kredit Payroll,Payroll,150000000,9534307,12,Approved,3
APP0000070,PR0000400,2025-08-20,2025-08-27,AO024,BR006,Kredit Konsumtif,Konsumtif,75000000,6125246,24,Approved,7
APP0000071,PR0000403,2026-01-05,2026-01-10,AO010,BR003,Kredit Payroll,Payroll,100000000,11082789,24,Cancelled,5
APP0000072,PR0000405,2026-02-15,2026-02-16,AO002,BR001,Kredit Konsumtif,Konsumtif,75000000,7213905,36,Approved,1
APP0000073,PR0000418,2026-06-09,2026-06-14,AO027,BR007,Kredit Mikro,Mikro,100000000,6777297,18,Rejected,5
APP0000074,PR0000429,2026-05-29,2026-05-30,AO001,BR001,Kredit Mikro,Mikro,30000000,5963619,12,Approved,1
APP0000075,PR0000434,2026-06-14,2026-06-17,AO009,BR003,Kredit Mikro,Mikro,20000000,6965202,36,Approved,3
APP0000076,PR0000441,2025-10-29,2025-10-30,AO023,BR006,Kredit Konsumtif,Konsumtif,75000000,7193163,12,Approved,1
APP0000077,PR0000445,2025-11-20,2025-11-23,AO002,BR001,Kredit Payroll,Payroll,50000000,8419616,36,Approved,3
APP0000078,PR0000449,2026-05-15,2026-05-16,AO009,BR003,Kredit Konsumtif,Konsumtif,75000000,7914817,24,Approved,1
APP0000079,PR0000453,2026-02-07,2026-02-10,AO011,BR003,Kredit Payroll,Payroll,75000000,8163267,12,Approved,3
APP0000080,PR0000468,2025-11-02,2025-11-08,AO006,BR002,Kredit Mikro,Mikro,75000000,4573632,18,Approved,6
APP0000081,PR0000481,2026-01-24,2026-01-30,AO022,BR006,Kredit Konsumtif,Konsumtif,150000000,10434686,18,Approved,6
APP0000082,PR0000482,2025-09-06,2025-09-07,AO014,BR004,Kredit Konsumtif,Konsumtif,100000000,5572987,12,Approved,1
APP0000083,PR0000483,2025-08-11,2025-08-13,AO001,BR001,Kredit Payroll,Payroll,50000000,5749277,12,Cancelled,2
APP0000084,PR0000484,2025-10-23,2025-10-27,AO011,BR003,Kredit Mikro,Mikro,20000000,6188244,18,Approved,4
APP0000085,PR0000493,2025-11-04,2025-11-07,AO023,BR006,Kredit Payroll,Payroll,100000000,8906559,24,Approved,3
APP0000086,PR0000498,2026-05-19,2026-05-20,AO006,BR002,Kredit Produktif SME,SME,500000000,22343569,36,Approved,1
APP0000087,PR0000517,2026-01-08,2026-01-13,AO020,BR005,Kredit Payroll,Payroll,150000000,4615814,48,Approved,5
APP0000088,PR0000519,2026-06-11,2026-06-13,AO012,BR003,Kredit Payroll,Payroll,150000000,6382392,24,Rejected,2
APP0000089,PR0000520,2025-08-10,2025-08-15,AO006,BR002,Kredit Konsumtif,Konsumtif,150000000,9314433,36,Rejected,5
APP0000090,PR0000522,2025-08-16,2025-08-23,AO024,BR006,Kredit Mikro,Mikro,75000000,4361073,24,Cancelled,7
APP0000091,PR0000529,2025-10-12,2025-10-14,AO007,BR002,Kredit Payroll,Payroll,75000000,8049683,12,Approved,2
APP0000092,PR0000536,2026-05-26,2026-05-28,AO023,BR006,Kredit Payroll,Payroll,150000000,6700849,36,Approved,2
APP0000093,PR0000538,2025-12-13,2025-12-20,AO004,BR001,Kredit Payroll,Payroll,50000000,10021018,48,Approved,7
APP0000094,PR0000543,2026-05-21,2026-05-25,AO015,BR004,Kredit Produktif SME,SME,300000000,12256501,60,Cancelled,4
APP0000095,PR0000547,2026-04-23,2026-04-30,AO026,BR007,Kredit Payroll,Payroll,75000000,12433755,36,Approved,7
APP0000096,PR0000552,2025-10-27,2025-10-30,AO026,BR007,Kredit Mikro,Mikro,30000000,3508261,18,Approved,3
APP0000097,PR0000563,2025-07-10,2025-07-14,AO007,BR002,Kredit Mikro,Mikro,100000000,4108620,24,Approved,4
APP0000098,PR0000564,2025-11-19,2025-11-20,AO015,BR004,Kredit Mikro,Mikro,50000000,5803479,18,Approved,1
APP0000099,PR0000566,2026-01-10,2026-01-16,AO018,BR005,Kredit Konsumtif,Konsumtif,50000000,6992063,18,Approved,6
APP0000100,PR0000570,2026-01-01,2026-01-05,AO010,BR003,Kredit Payroll,Payroll,50000000,10781144,60,Rejected,4
APP0000101,PR0000571,2025-12-18,2025-12-26,AO009,BR003,Kredit Konsumtif,Konsumtif,125000000,7060331,24,Rejected,8
APP0000102,PR0000574,2026-04-29,2026-04-30,AO009,BR003,Kredit Payroll,Payroll,150000000,9428505,36,Approved,1
APP0000103,PR0000576,2025-08-26,2025-08-29,AO003,BR001,Kredit Mikro,Mikro,50000000,5556952,18,Approved,3
APP0000104,PR0000582,2025-10-26,2025-10-27,AO010,BR003,Kredit Produktif SME,SME,150000000,23209609,60,Approved,1
APP0000105,PR0000592,2026-05-29,2026-05-30,AO016,BR004,Kredit Mikro,Mikro,20000000,6383176,24,Rejected,1
APP0000106,PR0000593,2025-10-15,2025-10-17,AO023,BR006,Kredit Konsumtif,Konsumtif,50000000,7496520,12,Approved,2
APP0000107,PR0000598,2025-09-08,2025-09-18,AO028,BR007,Kredit Payroll,Payroll,75000000,7696833,60,Approved,10
APP0000108,PR0000601,2025-09-03,2025-09-08,AO001,BR001,Kredit Payroll,Payroll,100000000,7932499,60,Approved,5
APP0000109,PR0000604,2026-06-27,2026-06-30,AO019,BR005,Kredit Konsumtif,Konsumtif,75000000,6679262,12,Approved,3
APP0000110,PR0000605,2025-09-28,2025-09-30,AO027,BR007,Kredit Konsumtif,Konsumtif,125000000,5271265,36,Approved,2
APP0000111,PR0000609,2026-03-13,2026-03-14,AO011,BR003,Kredit Konsumtif,Konsumtif,125000000,6474855,24,Cancelled,1
APP0000112,PR0000613,2025-10-11,2025-10-15,AO011,BR003,Kredit Produktif SME,SME,200000000,12812392,12,Approved,4
APP0000113,PR0000627,2025-10-21,2025-10-22,AO003,BR001,Kredit Payroll,Payroll,100000000,8513005,36,Approved,1
APP0000114,PR0000634,2026-05-12,2026-05-15,AO007,BR002,Kredit Payroll,Payroll,50000000,10267330,60,Approved,3
APP0000115,PR0000639,2026-01-09,2026-01-15,AO001,BR001,Kredit Konsumtif,Konsumtif,150000000,3500000,36,Approved,6
APP0000116,PR0000640,2025-12-19,2025-12-22,AO009,BR003,Kredit Konsumtif,Konsumtif,150000000,7048437,18,Rejected,3
APP0000117,PR0000645,2025-11-20,2025-11-28,AO006,BR002,Kredit Konsumtif,Konsumtif,75000000,4617718,18,Approved,8
APP0000118,PR0000648,2026-03-01,2026-03-02,AO019,BR005,Kredit Payroll,Payroll,100000000,7245971,24,Approved,1
APP0000119,PR0000661,2026-05-24,2026-05-28,AO021,BR006,Kredit Konsumtif,Konsumtif,50000000,8843060,36,Approved,4
APP0000120,PR0000665,2026-01-24,2026-01-30,AO016,BR004,Kredit Payroll,Payroll,50000000,8818379,36,Approved,6
APP0000121,PR0000668,2025-12-10,2025-12-13,AO003,BR001,Kredit Mikro,Mikro,50000000,6106949,18,Approved,3
APP0000122,PR0000680,2026-05-05,2026-05-06,AO009,BR003,Kredit Konsumtif,Konsumtif,150000000,3721948,18,Approved,1
APP0000123,PR0000687,2026-01-29,2026-01-30,AO003,BR001,Kredit Konsumtif,Konsumtif,150000000,7125337,36,Approved,1
APP0000124,PR0000688,2026-02-12,2026-02-13,AO009,BR003,Kredit Mikro,Mikro,20000000,7525552,18,Rejected,1
APP0000125,PR0000690,2025-10-20,2025-10-21,AO018,BR005,Kredit Konsumtif,Konsumtif,125000000,6328438,12,Approved,1
APP0000126,PR0000691,2025-10-23,2025-10-25,AO022,BR006,Kredit Produktif SME,SME,200000000,17542910,12,Approved,2
APP0000127,PR0000701,2025-12-09,2025-12-11,AO009,BR003,Kredit Mikro,Mikro,20000000,4494439,12,Approved,2
APP0000128,PR0000706,2026-05-24,2026-05-27,AO003,BR001,Kredit Konsumtif,Konsumtif,125000000,5571975,36,Approved,3
APP0000129,PR0000710,2025-12-28,2025-12-30,AO027,BR007,Kredit Mikro,Mikro,30000000,2500000,36,Rejected,2
APP0000130,PR0000712,2026-02-18,2026-02-21,AO009,BR003,Kredit Konsumtif,Konsumtif,100000000,6219081,18,Approved,3
APP0000131,PR0000713,2025-08-11,2025-08-17,AO006,BR002,Kredit Mikro,Mikro,100000000,3751047,12,Approved,6
APP0000132,PR0000714,2025-11-09,2025-11-19,AO016,BR004,Kredit Konsumtif,Konsumtif,30000000,6282805,18,Approved,10
APP0000133,PR0000726,2025-10-29,2025-10-30,AO013,BR004,Kredit Payroll,Payroll,150000000,10664811,48,Approved,1
APP0000134,PR0000731,2025-12-14,2025-12-16,AO008,BR002,Kredit Konsumtif,Konsumtif,125000000,7599953,36,Approved,2
APP0000135,PR0000733,2025-08-17,2025-08-19,AO022,BR006,Kredit Mikro,Mikro,20000000,6402809,36,Approved,2
APP0000136,PR0000734,2026-02-06,2026-02-12,AO021,BR006,Kredit Payroll,Payroll,75000000,9555536,12,Approved,6
APP0000137,PR0000737,2025-09-11,2025-09-12,AO023,BR006,Kredit Konsumtif,Konsumtif,75000000,7512291,18,Rejected,1
APP0000138,PR0000753,2026-06-18,2026-06-19,AO005,BR002,Kredit Payroll,Payroll,200000000,6586898,36,Approved,1
APP0000139,PR0000759,2025-12-06,2025-12-09,AO011,BR003,Kredit Mikro,Mikro,30000000,3764427,24,Approved,3
APP0000140,PR0000761,2025-10-04,2025-10-08,AO021,BR006,Kredit Produktif SME,SME,1000000000,15899661,48,Approved,4
APP0000141,PR0000762,2025-11-24,2025-11-26,AO011,BR003,Kredit Produktif SME,SME,750000000,26740796,60,Rejected,2
APP0000142,PR0000765,2025-08-18,2025-08-22,AO020,BR005,Kredit Konsumtif,Konsumtif,125000000,6429117,18,Rejected,4
APP0000143,PR0000772,2026-01-27,2026-01-30,AO012,BR003,Kredit Mikro,Mikro,20000000,2969944,18,Rejected,3
APP0000144,PR0000774,2026-01-26,2026-01-27,AO001,BR001,Kredit Payroll,Payroll,200000000,5948611,24,Approved,1
APP0000145,PR0000778,2026-05-25,2026-05-29,AO001,BR001,Kredit Konsumtif,Konsumtif,100000000,7782537,12,Approved,4
APP0000146,PR0000787,2025-10-04,2025-10-08,AO004,BR001,Kredit Mikro,Mikro,20000000,7767136,36,Approved,4
APP0000147,PR0000790,2026-05-22,2026-05-23,AO021,BR006,Kredit Payroll,Payroll,100000000,8722677,48,Approved,1
APP0000148,PR0000791,2025-12-18,2025-12-20,AO006,BR002,Kredit Mikro,Mikro,75000000,5688268,18,Cancelled,2
APP0000149,PR0000793,2026-06-09,2026-06-13,AO003,BR001,Kredit Mikro,Mikro,75000000,6258177,24,Approved,4
APP0000150,PR0000798,2026-04-19,2026-04-20,AO001,BR001,Kredit Konsumtif,Konsumtif,50000000,7884325,12,Rejected,1
APP0000151,PR0000799,2026-03-08,2026-03-09,AO016,BR004,Kredit Mikro,Mikro,20000000,5746444,12,Approved,1
APP0000152,PR0000800,2026-02-11,2026-02-13,AO011,BR003,Kredit Produktif SME,SME,1000000000,24521493,36,Approved,2
APP0000153,PR0000808,2025-09-29,2025-09-30,AO020,BR005,Kredit Produktif SME,SME,200000000,8354444,48,Cancelled,1
APP0000154,PR0000809,2026-02-25,2026-03-02,AO008,BR002,Kredit Konsumtif,Konsumtif,50000000,6487964,18,Approved,5
APP0000155,PR0000813,2026-01-25,2026-01-30,AO007,BR002,Kredit Konsumtif,Konsumtif,100000000,8025046,12,Approved,5
APP0000156,PR0000814,2026-03-01,2026-03-02,AO021,BR006,Kredit Konsumtif,Konsumtif,30000000,8567557,12,Approved,1
APP0000157,PR0000815,2025-10-22,2025-10-24,AO024,BR006,Kredit Payroll,Payroll,150000000,5930960,48,Approved,2
APP0000158,PR0000821,2025-10-16,2025-10-23,AO014,BR004,Kredit Produktif SME,SME,750000000,33091589,48,Approved,7
APP0000159,PR0000822,2025-09-29,2025-09-30,AO020,BR005,Kredit Payroll,Payroll,200000000,9880604,36,Approved,1
APP0000160,PR0000827,2026-04-21,2026-04-24,AO028,BR007,Kredit Produktif SME,SME,200000000,30457082,24,Approved,3
APP0000161,PR0000835,2026-02-27,2026-03-02,AO001,BR001,Kredit Konsumtif,Konsumtif,75000000,7160141,24,Approved,3
APP0000162,PR0000844,2026-04-25,2026-04-30,AO003,BR001,Kredit Mikro,Mikro,75000000,5627248,18,Approved,5
APP0000163,PR0000846,2025-09-12,2025-09-14,AO028,BR007,Kredit Payroll,Payroll,200000000,7600642,12,Approved,2
APP0000164,PR0000849,2025-11-21,2025-11-24,AO027,BR007,Kredit Payroll,Payroll,50000000,11937040,60,Approved,3
APP0000165,PR0000858,2026-02-28,2026-03-02,AO007,BR002,Kredit Payroll,Payroll,50000000,9589841,36,Approved,2
APP0000166,PR0000864,2025-08-21,2025-08-28,AO006,BR002,Kredit Payroll,Payroll,200000000,9090388,12,Approved,7
APP0000167,PR0000871,2025-12-14,2025-12-17,AO001,BR001,Kredit Payroll,Payroll,150000000,7172132,24,Approved,3
APP0000168,PR0000874,2025-08-02,2025-08-03,AO020,BR005,Kredit Konsumtif,Konsumtif,75000000,7467841,36,Rejected,1
APP0000169,PR0000878,2026-03-29,2026-03-30,AO009,BR003,Kredit Konsumtif,Konsumtif,100000000,5312578,24,Rejected,1
APP0000170,PR0000880,2026-03-29,2026-03-30,AO012,BR003,Kredit Mikro,Mikro,50000000,5829123,24,Rejected,1
APP0000171,PR0000881,2026-04-29,2026-04-30,AO026,BR007,Kredit Konsumtif,Konsumtif,125000000,5335966,12,Cancelled,1
APP0000172,PR0000885,2025-10-29,2025-10-30,AO021,BR006,Kredit Payroll,Payroll,50000000,10216378,12,Approved,1
APP0000173,PR0000886,2025-08-28,2025-08-30,AO002,BR001,Kredit Mikro,Mikro,50000000,4169353,12,Approved,2
APP0000174,PR0000889,2026-06-09,2026-06-18,AO023,BR006,Kredit Mikro,Mikro,20000000,3836907,24,Approved,9
APP0000175,PR0000894,2025-11-24,2025-11-26,AO015,BR004,Kredit Mikro,Mikro,100000000,3666458,12,Approved,2
APP0000176,PR0000900,2025-08-10,2025-08-16,AO010,BR003,Kredit Konsumtif,Konsumtif,125000000,5995673,24,Approved,6
APP0000177,PR0000901,2025-12-10,2025-12-16,AO001,BR001,Kredit Produktif SME,SME,500000000,25966091,36,Approved,6
APP0000178,PR0000906,2025-09-23,2025-09-27,AO027,BR007,Kredit Konsumtif,Konsumtif,75000000,8816798,12,Rejected,4
APP0000179,PR0000907,2025-12-22,2025-12-25,AO001,BR001,Kredit Payroll,Payroll,50000000,10233565,24,Approved,3
APP0000180,PR0000908,2026-04-26,2026-04-30,AO019,BR005,Kredit Payroll,Payroll,150000000,5954145,60,Approved,4
APP0000181,PR0000914,2026-02-04,2026-02-07,AO028,BR007,Kredit Konsumtif,Konsumtif,150000000,6068749,18,Approved,3
APP0000182,PR0000928,2026-06-05,2026-06-07,AO007,BR002,Kredit Mikro,Mikro,30000000,6803117,12,Approved,2
APP0000183,PR0000929,2026-06-07,2026-06-08,AO006,BR002,Kredit Produktif SME,SME,1000000000,25903408,48,Approved,1
APP0000184,PR0000932,2026-04-09,2026-04-11,AO007,BR002,Kredit Produktif SME,SME,150000000,32334713,48,Approved,2
APP0000185,PR0000936,2025-08-02,2025-08-05,AO001,BR001,Kredit Konsumtif,Konsumtif,75000000,6388118,12,Approved,3
APP0000186,PR0000937,2026-06-08,2026-06-15,AO002,BR001,Kredit Mikro,Mikro,100000000,7616935,12,Rejected,7
APP0000187,PR0000948,2026-06-22,2026-06-27,AO021,BR006,Kredit Mikro,Mikro,50000000,3387662,24,Rejected,5
APP0000188,PR0000956,2025-07-07,2025-07-13,AO013,BR004,Kredit Mikro,Mikro,50000000,5942217,18,Rejected,6
APP0000189,PR0000957,2026-04-08,2026-04-16,AO012,BR003,Kredit Produktif SME,SME,200000000,17589888,48,Rejected,8
APP0000190,PR0000960,2026-04-06,2026-04-12,AO017,BR005,Kredit Mikro,Mikro,100000000,4337988,12,Approved,6
APP0000191,PR0000961,2025-11-09,2025-11-11,AO001,BR001,Kredit Payroll,Payroll,200000000,9548586,48,Approved,2
APP0000192,PR0000962,2026-01-13,2026-01-17,AO006,BR002,Kredit Konsumtif,Konsumtif,75000000,5725694,36,Approved,4
APP0000193,PR0000965,2025-09-20,2025-09-25,AO024,BR006,Kredit Produktif SME,SME,100000000,33888081,24,Approved,5
APP0000194,PR0000966,2026-02-04,2026-02-07,AO006,BR002,Kredit Konsumtif,Konsumtif,150000000,8557448,18,Rejected,3
APP0000195,PR0000971,2025-09-09,2025-09-17,AO018,BR005,Kredit Produktif SME,SME,100000000,13786996,24,Rejected,8
APP0000196,PR0000972,2025-11-09,2025-11-12,AO024,BR006,Kredit Produktif SME,SME,200000000,29785148,12,Cancelled,3
APP0000197,PR0000977,2026-01-29,2026-01-30,AO003,BR001,Kredit Mikro,Mikro,20000000,9873182,36,Approved,1
APP0000198,PR0000979,2025-12-20,2025-12-24,AO019,BR005,Kredit Produktif SME,SME,200000000,18311455,24,Cancelled,4
APP0000199,PR0000989,2025-09-24,2025-09-30,AO013,BR004,Kredit Produktif SME,SME,1000000000,12140634,60,Approved,6
APP0000200,PR0000991,2025-08-24,2025-08-27,AO003,BR001,Kredit Produktif SME,SME,100000000,7000000,48,Rejected,3
APP0000201,PR0001007,2026-01-10,2026-01-14,AO010,BR003,Kredit Konsumtif,Konsumtif,100000000,4843986,18,Cancelled,4
APP0000202,PR0001009,2026-01-08,2026-01-13,AO023,BR006,Kredit Konsumtif,Konsumtif,100000000,3500000,12,Rejected,5
APP0000203,PR0001010,2026-05-29,2026-05-30,AO011,BR003,Kredit Mikro,Mikro,75000000,7220903,12,Approved,1
APP0000204,PR0001014,2025-11-06,2025-11-07,AO008,BR002,Kredit Payroll,Payroll,50000000,8425892,36,Approved,1
APP0000205,PR0001019,2026-04-07,2026-04-11,AO006,BR002,Kredit Mikro,Mikro,75000000,5269024,24,Approved,4
APP0000206,PR0001020,2026-02-19,2026-02-23,AO010,BR003,Kredit Konsumtif,Konsumtif,30000000,7177710,36,Approved,4
APP0000207,PR0001021,2026-05-19,2026-05-20,AO007,BR002,Kredit Konsumtif,Konsumtif,150000000,5727137,24,Approved,1
APP0000208,PR0001024,2026-01-03,2026-01-10,AO004,BR001,Kredit Mikro,Mikro,50000000,4856910,12,Cancelled,7
APP0000209,PR0001026,2026-01-17,2026-01-22,AO011,BR003,Kredit Produktif SME,SME,1000000000,11979727,48,Approved,5
APP0000210,PR0001035,2026-03-16,2026-03-19,AO027,BR007,Kredit Mikro,Mikro,20000000,6768850,12,Approved,3
APP0000211,PR0001041,2026-05-17,2026-05-18,AO008,BR002,Kredit Konsumtif,Konsumtif,30000000,7198221,24,Approved,1
